Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,Hour
226-31-3081,C,0,1,0,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,9.6,10
631-41-3108,A,1,0,0,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,Credit card,7.4,13
373-73-7910,A,1,0,0,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,Ewallet,5.3,10
699-14-3026,C,0,1,0,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,4.1,18
355-53-5943,A,1,0,0,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,5.8,14
315-22-5665,C,0,1,0,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,8.0,11
692-92-5582,B,0,0,1,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,5.9,13
351-62-0822,B,0,0,1,Normal,Male,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07,Ewallet,4.5,18
529-56-3974,B,0,0,1,Normal,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,Cash,6.8,17
365-64-0515,A,1,0,0,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,7.1,10
252-56-2699,A,1,0,0,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,8.2,16
299-46-1805,B,0,0,1,Normal,Male,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,4.5,16
656-95-9349,A,1,0,0,Normal,Male,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,4.6,11
765-26-6951,A,1,0,0,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,6.9,10
329-62-1586,A,1,0,0,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,8.6,18
319-50-3348,B,0,0,1,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,4.4,15
300-71-4605,C,0,1,0,Normal,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,4.8,11
371-85-5789,B,0,0,1,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,Ewallet,5.1,10
273-16-6619,B,0,0,1,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,4.4,12
636-48-8204,A,1,0,0,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,9.9,11
549-59-1358,A,1,0,0,Normal,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,6.0,17
227-03-5010,A,1,0,0,Normal,Male,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,8.5,19
649-29-6775,B,0,0,1,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,6.7,15
189-17-4241,A,1,0,0,Normal,Male,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,7.7,12
145-94-9061,B,0,0,1,Normal,Male,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,9.6,19
848-62-7243,A,1,0,0,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,7.4,15
871-79-8483,B,0,0,1,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,4.8,19
149-71-6266,B,0,0,1,Normal,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43,Cash,4.5,12
640-49-2076,B,0,0,1,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,Cash,5.1,14
595-11-5460,A,1,0,0,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12,Credit card,5.1,10
183-56-6882,C,0,1,0,Normal,Male,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42,Ewallet,7.5,10
232-16-2483,C,0,1,0,Normal,Male,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28,Ewallet,6.8,12
129-29-8530,A,1,0,0,Normal,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,Ewallet,7.0,19
333-73-7901,C,0,1,0,Normal,Male,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24,Ewallet,7.6,13
777-82-7220,B,0,0,1,Normal,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01,Cash,7.7,13
280-35-5823,B,0,0,1,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,7.9,18
554-53-8700,C,0,1,0,Normal,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11,Cash,6.3,10
354-25-5821,B,0,0,1,Normal,Male,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03,Cash,5.6,13
228-96-1411,C,0,1,0,Normal,Male,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,7.6,20
617-15-4209,C,0,1,0,Normal,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,Cash,7.2,19
